ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
200,932,35-39,Man,United States of America,No,Yes,10-20 years,5-10 years, ONNX models ,"Manager (Program, Project, Operations, Executive-level, etc)",Online Service/Internet-based Services,50-249 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","$100,000 or more ($USD)", Google Cloud Platform (GCP) ,Never
201,299,30-34,Man,Other,No,Yes,I have never written code,,,"Manager (Program, Project, Operations, Executive-level, etc)",Non-profit/Service,0-49 employees,1-2,No (we do not use ML methods),"20,000-24,999",$100-$999,,
202,356,22-24,Man,India,No,No,5-10 years,2-3 years,,Other,Computers/Technology,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$0 ($USD),,
203,1156,30-34,Man,India,No,,3-5 years,Under 1 year,,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",5-9,We are exploring ML methods (and may one day put a model into production),"3,000-3,999","$10,000-$99,999",,Once
204,251,60-69,Man,Argentina,No,Yes,20+ years,10-20 years,,,,,,,,,,
205,477,30-34,Man,United States of America,No,Yes,3-5 years,3-4 years,,Data Scientist,Academics/Education,"10,000 or more employees",5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$1-$99,They all had a similarly enjoyable developer experience,Never
206,200,30-34,Man,China,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
207,297,45-49,Man,United States of America,No,Yes,10-20 years,1-2 years,,Teacher / professor,Academics/Education,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","$1000-$9,999",,2-5 times
208,466,22-24,Man,China,Yes,No,1-3 years,1-2 years,,,,,,,,,,
209,368,22-24,Woman,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
210,447,45-49,Man,United States of America,No,No,20+ years,10-20 years,,Data Scientist,Government/Public Service,"10,000 or more employees",20+,I do not know,"150,000-199,999",$1-$99,,Never
211,148,18-21,Man,Peru,Yes,,1-3 years,Under 1 year,,,,,,,,,,
212,392,22-24,Man,Turkey,No,,3-5 years,I do not use machine learning methods,,Data Engineer,Computers/Technology,0-49 employees,15-19,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 ($USD),,
213,727,25-29,Man,India,No,Yes,< 1 years,1-2 years, Kaggle datasets ,Teacher / professor,Academics/Education,"1000-9,999 employees",1-2,No (we do not use ML methods),"4,000-4,999",$1-$99,,
214,516,35-39,Man,India,Yes,Yes,20+ years,4-5 years,,,,,,,,,,
215,371,18-21,Prefer not to say,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
216,340,25-29,Prefer not to say,India,No,,I have never written code,,,Engineer (non-software),Non-profit/Service,0-49 employees,0,I do not know,$0-999,$100-$999,,
217,172,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
218,246,25-29,Woman,South Africa,Yes,,I have never written code,,,,,,,,,,,
219,1092,45-49,Man,Japan,No,No,1-3 years,1-2 years,,Other,Computers/Technology,"10,000 or more employees",0,No (we do not use ML methods),"125,000-149,999",$1-$99,,Once
220,2937,22-24,Woman,Other,Yes,,1-3 years,Under 1 year,,,,,,,,,,
221,232,22-24,Man,Nigeria,Yes,,3-5 years,1-2 years,,,,,,,,,,
222,2051,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
223,466,30-34,Woman,Turkey,No,No,I have never written code,,,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees",0,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
224,320,22-24,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
225,1842,18-21,Man,India,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
226,167,25-29,Woman,Colombia,Yes,No,I have never written code,,,,,,,,,,,
227,180,18-21,Man,China,Yes,Yes,3-5 years,I do not use machine learning methods,,,,,,,,,,
228,1024,25-29,Man,India,Yes,No,3-5 years,1-2 years,,,,,,,,,,
229,420,18-21,Man,India,No,,< 1 years,I do not use machine learning methods,,Engineer (non-software),Energy/Mining,"10,000 or more employees",0,No (we do not use ML methods),"3,000-3,999",$0 ($USD),,
230,24866,22-24,Man,India,Yes,,,,,,,,,,,,,
231,432,22-24,Man,India,Yes,Yes,3-5 years,1-2 years,,,,,,,,,,
232,291,30-34,Man,Canada,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
233,953,22-24,Woman,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
234,145,22-24,Man,Nepal,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
235,334,25-29,Man,Taiwan,Yes,No,1-3 years,1-2 years,,,,,,,,,,
236,1634,45-49,Man,Other,No,Yes,20+ years,4-5 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,0-49 employees,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)",,"$10,000-$99,999",None were satisfactory,Never
237,507,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No,,20+ years,5-10 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Broadcasting/Communications,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","$500,000-999,999","$100,000 or more ($USD)",They all had a similarly enjoyable developer experience,Once
238,635,50-54,Man,Japan,No,,1-3 years,2-3 years,,Currently not employed,,,,,,,,
239,213,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
240,670,45-49,Man,United States of America,No,,20+ years,1-2 years,,Data Engineer,Energy/Mining,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",$1-$99,None were satisfactory,Once
241,132,18-21,Prefer not to say,India,Yes,,< 1 years,,,,,,,,,,,
242,232,25-29,Man,Israel,Yes,,< 1 years,Under 1 year,,,,,,,,,,
243,814,50-54,Woman,India,No,Yes,20+ years,1-2 years,,Teacher / professor,Academics/Education,"1000-9,999 employees",5-9,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$100-$999,,2-5 times
244,1330,35-39,Man,India,No,Yes,10-20 years,5-10 years, Huggingface Models ,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$1-$99, Google Cloud Platform (GCP) ,Once
245,256,40-44,Man,United States of America,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
246,336,30-34,Man,Ethiopia,No,No,1-3 years,Under 1 year,,Data Scientist,Accounting/Finance,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999, VMware Cloud ,Once
247,484,30-34,Man,Other,Yes,No,3-5 years,4-5 years,,,,,,,,,,
248,533,25-29,Woman,Canada,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
249,190,40-44,Man,Argentina,Yes,,10-20 years,I do not use machine learning methods,,,,,,,,,,
250,438,30-34,Woman,Turkey,No,,5-10 years,5-10 years,,Statistician,Energy/Mining,250-999 employees,1-2,No (we do not use ML methods),"7,500-9,999","$1000-$9,999",None were satisfactory,Never
251,136,30-34,Woman,Nigeria,Yes,No,I have never written code,,,,,,,,,,,
252,537,22-24,Man,Kenya,Yes,No,< 1 years,1-2 years, Kaggle datasets ,,,,,,,,,
253,305,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
254,631,30-34,Woman,Tunisia,No,Yes,< 1 years,1-2 years,,Data Scientist,Academics/Education,50-249 employees,1-2,I do not know,$0-999,$1-$99,,Never
255,200,18-21,Woman,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
256,12147,35-39,Man,Colombia,Yes,No,20+ years,1-2 years,  TensorFlow Hub ,,,,,,,,,
257,525,25-29,Man,Philippines,No,,1-3 years,1-2 years,,Data Scientist,Accounting/Finance,0-49 employees,1-2,I do not know,"10,000-14,999",$1-$99,,Once
258,472,22-24,Man,India,Yes,No,1-3 years,1-2 years,,,,,,,,,,
259,195,22-24,Woman,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
260,143,25-29,Man,Japan,No,,1-3 years,,,,,,,,,,,
261,2422,45-49,Woman,Egypt,No,No,10-20 years,Under 1 year,,Data Administrator,Computers/Technology,50-249 employees,0,No (we do not use ML methods),"10,000-14,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
262,166,25-29,Man,India,Yes,No,< 1 years,,,,,,,,,,,
263,774,30-34,Man,Other,Yes,Yes,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
264,317,40-44,Man,Chile,No,,< 1 years,Under 1 year,,Engineer (non-software),Other,0-49 employees,1-2,I do not know,$0-999,$0 ($USD),,
265,356,40-44,Man,Brazil,No,No,10-20 years,I do not use machine learning methods,,Software Engineer,Medical/Pharmaceutical,250-999 employees,5-9,I do not know,,,,
266,269,25-29,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
267,601,25-29,Man,India,No,,1-3 years,1-2 years,,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",20+,I do not know,"7,500-9,999","$1000-$9,999",,Never
268,673,35-39,Man,Brazil,No,No,5-10 years,5-10 years,,Data Scientist,Medical/Pharmaceutical,0-49 employees,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999", Google Cloud Platform (GCP) ,Never
269,552,50-54,Man,Colombia,No,,I have never written code,,,Teacher / professor,Academics/Education,"10,000 or more employees",20+,I do not know,"10,000-14,999",$100-$999,,
270,3316,50-54,Man,Ecuador,Yes,Yes,I have never written code,,,,,,,,,,,
271,972,60-69,Man,Japan,No,,10-20 years,3-4 years, PyTorch Hub ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),"15,000-19,999","$1000-$9,999",,More than 25 times
272,280,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
273,1082,50-54,Man,South Korea,No,,20+ years,4-5 years, Kaggle datasets ,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,0-49 employees,5-9,We are exploring ML methods (and may one day put a model into production),"100,000-124,999","$1000-$9,999", Google Cloud Platform (GCP) ,Once
274,153,25-29,Man,United States of America,Yes,,5-10 years,4-5 years,,,,,,,,,,
275,514,25-29,Man,Nigeria,No,Yes,1-3 years,1-2 years,  TensorFlow Hub ,Currently not employed,,,,,,,,
276,865,25-29,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
277,174,22-24,Woman,Viet Nam,Yes,,I have never written code,,,,,,,,,,,
278,532,40-44,Woman,United States of America,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,250-999 employees,0,I do not know,$0-999,$1-$99,,
279,214,35-39,Woman,United States of America,No,Yes,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
280,216,22-24,Man,India,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
281,608,22-24,Man,India,No,Yes,3-5 years,Under 1 year,,Software Engineer,Computers/Technology,"10,000 or more employees",0,No (we do not use ML methods),"5,000-7,499",$100-$999,,Never
282,643,30-34,Man,Indonesia,No,,5-10 years,I do not use machine learning methods,,Software Engineer,Shipping/Transportation,0-49 employees,1-2,No (we do not use ML methods),"50,000-59,999",$0 ($USD),,
283,342,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
284,162,22-24,Man,India,Yes,No,1-3 years,,,,,,,,,,,
285,659,35-39,Man,Japan,Yes,,< 1 years,Under 1 year,,,,,,,,,,
286,2043,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
287,365,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
288,258,25-29,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
289,753,35-39,Man,Japan,No,,10-20 years,5-10 years,,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999", Amazon Web Services (AWS) ,2-5 times
290,271,55-59,Man,India,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,250-999 employees,0,I do not know,"10,000-14,999",$100-$999,,
291,724,25-29,Man,Canada,Yes,Yes,5-10 years,Under 1 year, Kaggle datasets ,,,,,,,,,
292,269,22-24,Woman,Pakistan,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
293,925,30-34,Man,Chile,Yes,No,3-5 years,3-4 years,,,,,,,,,,
294,397,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
295,364,18-21,Man,India,Yes,,3-5 years,Under 1 year,,,,,,,,,,
296,362,50-54,Man,India,No,Yes,< 1 years,Under 1 year, Kaggle datasets ,Engineer (non-software),Manufacturing/Fabrication,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$100-$999, Google Cloud Platform (GCP) ,
297,883,45-49,Woman,India,No,No,20+ years,5-10 years,,Currently not employed,,,,,,,,
298,516,35-39,Woman,Peru,No,Yes,1-3 years,1-2 years,,Research Scientist,Academics/Education,"1000-9,999 employees",3-4,No (we do not use ML methods),"1,000-1,999",$1-$99,,Never
299,280,22-24,Man,India,Yes,,,,,,,,,,,,,
300,313,18-21,Man,India,Yes,,3-5 years,2-3 years,,,,,,,,,,
301,881,22-24,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
302,648,22-24,Woman,Other,No,Yes,3-5 years,4-5 years, Kaggle datasets ,Data Scientist,Online Service/Internet-based Services,50-249 employees,3-4,,,,,
303,276,45-49,Man,Thailand,No,No,I have never written code,,,Teacher / professor,Marketing/CRM,"10,000 or more employees",20+,No (we do not use ML methods),"50,000-59,999",$0 ($USD),,
304,309,18-21,Man,India,Yes,,3-5 years,1-2 years,,,,,,,,,,
305,792,25-29,Man,Egypt,No,,1-3 years,1-2 years,,Data Scientist,Other,0-49 employees,3-4,,,,,
306,248,40-44,Man,United Arab Emirates,No,No,10-20 years,1-2 years,,,,,,,,,,
307,380,18-21,Man,India,Yes,,3-5 years,1-2 years,,,,,,,,,,
308,341,30-34,Man,Egypt,No,,I have never written code,,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"10,000 or more employees",0,No (we do not use ML methods),$0-999,$0 ($USD),,
309,173,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
310,413,50-54,Man,Spain,No,,1-3 years,Under 1 year,,Engineer (non-software),Government/Public Service,50-249 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$0 ($USD),,
311,443,18-21,Woman,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
312,171,45-49,Man,Colombia,Yes,,,,,,,,,,,,,
313,713,40-44,Man,India,No,No,< 1 years,Under 1 year,,Other,Retail/Sales,"1000-9,999 employees",20+,No (we do not use ML methods),"20,000-24,999",$100-$999,,2-5 times
314,228,25-29,Man,Israel,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
315,214,30-34,Man,India,No,No,5-10 years,1-2 years,,,,,,,,,,
316,213,25-29,Man,India,Yes,,3-5 years,2-3 years,,,,,,,,,,
317,257,45-49,Man,United States of America,Yes,Yes,I have never written code,,,,,,,,,,,
318,380,18-21,Man,United States of America,No,,< 1 years,I do not use machine learning methods,,Data Engineer,Retail/Sales,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","$1000-$9,999", Amazon Web Services (AWS) ,
319,138,18-21,Man,India,Yes,No,I have never written code,,,,,,,,,,,
320,7995,25-29,Man,Japan,No,No,I have never written code,,,Other,Computers/Technology,"10,000 or more employees",1-2,No (we do not use ML methods),"40,000-49,999",$0 ($USD),,
321,283,22-24,Man,India,No,No,5-10 years,2-3 years,,Software Engineer,Other,0-49 employees,1-2,I do not know,"1,000-1,999",$0 ($USD),,
322,207,25-29,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
323,180,18-21,Man,Colombia,Yes,,I have never written code,,,,,,,,,,,
324,156,30-34,Man,India,Yes,,,,,,,,,,,,,
325,274,25-29,Man,Germany,Yes,Yes,5-10 years,Under 1 year,,,,,,,,,,
326,3242,30-34,Man,Cameroon,No,Yes,3-5 years,Under 1 year,,Teacher / professor,Academics/Education,250-999 employees,0,No (we do not use ML methods),"5,000-7,499",$0 ($USD),,
327,139,30-34,Man,United States of America,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
328,631,22-24,Woman,Egypt,No,,< 1 years,2-3 years,,Data Scientist,Computers/Technology,250-999 employees,0,No (we do not use ML methods),$0-999,$1-$99,,2-5 times
329,213,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
330,920,35-39,Woman,"Iran, Islamic Republic of...",No,Yes,< 1 years,2-3 years,,Research Scientist,Academics/Education,0-49 employees,0,I do not know,$0-999,$0 ($USD),,
331,256,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
332,275,22-24,Man,Bangladesh,Yes,,3-5 years,Under 1 year,,,,,,,,,,
333,416,18-21,Woman,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
334,344,45-49,Woman,United States of America,No,Yes,5-10 years,3-4 years,,Research Scientist,Non-profit/Service,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",$0 ($USD),,
335,280,40-44,Man,United States of America,Yes,,10-20 years,2-3 years, Kaggle datasets ,,,,,,,,,
336,607,35-39,Man,Other,No,,5-10 years,1-2 years, Kaggle datasets ,Machine Learning/ MLops Engineer,Academics/Education,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999, Amazon Web Services (AWS) ,Once
337,1143,25-29,Man,India,Yes,,< 1 years,1-2 years,,,,,,,,,,
338,505,22-24,Man,Taiwan,Yes,,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
339,467,22-24,Man,India,Yes,No,3-5 years,,,,,,,,,,,
340,564,35-39,Man,Chile,No,Yes,5-10 years,2-3 years,,Data Scientist,Retail/Sales,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",$100-$999,,Never
341,507,60-69,Man,United States of America,No,No,20+ years,2-3 years,,Software Engineer,Online Service/Internet-based Services,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999", Amazon Web Services (AWS) ,2-5 times
